country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ECU,%,Share of fossil primary energy consumed,78.38607114821338,80.30764379092436,78.90482437417069,80.46655710720326,81.26507435308885,83.40338737100717,83.74838873534658,80.44272611035261,77.38247082751829,81.0707554731813,84.04420530419304,80.78739811948982,80.14209440031075,82.60529281405773,82.69505632926968,80.31029127241823,76.30155998893208,71.54403307039473,72.51320343109886,68.10381196323245,63.767225009492904,67.44022089849486
EGY,%,Share of fossil primary energy consumed,92.58393269862889,92.77409144620466,93.2042243513486,94.06230075703796,94.36535726848653,94.61429382385028,94.82768511442984,94.63684452388688,94.58576377969946,95.19940459124005,95.53828123786255,95.66845611468919,95.819710297528,95.82281533204268,95.81834731034486,95.67114677793197,95.86853192262468,96.13000941434694,95.94459394883307,94.83010251801993,93.43537591734562,93.76942944832895
ESP,%,Share of fossil primary energy consumed,81.43729292112145,79.59246146858527,82.62534299326188,80.15275373063587,81.61834393031336,84.20163868154947,82.55483826070468,82.83940080725995,81.19649194004609,78.84479521427575,73.65985658619834,75.41697589089534,74.41566979093126,70.7372040154229,70.33462760304951,73.08961354193933,71.91925890306733,75.08915994983116,73.12112238386415,73.36112466503728,67.6903134844809,68.52384478940905
EST,%,Share of fossil primary energy consumed,99.89831856408817,99.90368058667289,99.81288940487943,99.77972077933153,99.71255443163065,99.49676580262683,99.38624604409894,99.40309698049042,99.08484913910533,97.17898719707901,95.48668418053992,94.99743817463873,93.81345066214533,95.23986234398477,94.4053568015468,93.37749424474003,93.54112062941383,93.13294253059252,92.23586646314244,89.6060337020674,85.14357550823351,85.02787113647726
FIN,%,Share of fossil primary energy consumed,62.36789701601996,64.62193129202925,66.64453466687533,69.22565696202233,64.35720684133955,62.45039146549997,65.98866285497947,64.33730622621194,60.61303321669402,62.18127472349227,63.847660484434854,61.331515363160946,57.08924918550514,59.10955981078481,56.50820690874126,53.41695796944017,55.40050247464951,53.60120428935316,53.86397721219274,52.14761655559984,47.92492674273879,46.78970079914078
FRA,%,Share of fossil primary energy consumed,55.34391436865895,54.85560937823155,54.528556468230896,55.01045468388095,54.94113019310123,55.278140220554526,54.72206191868949,54.52615672870302,53.91831912319389,54.55982693664585,53.70637329987393,52.1702415584279,52.038978525602786,51.513671706322164,48.89508943440199,49.59907985504502,51.5101161118472,52.44170614711666,50.305989828347485,50.67374144932426,48.96674596778049,49.871497118693156
GAB,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
GBR,%,Share of fossil primary energy consumed,89.80681277429036,89.47136456366192,89.36437689145382,89.53552888915756,90.1627012844022,89.82596078823593,90.21209930597306,91.01329318257015,91.55447559657898,88.8412686116253,89.69248869685627,87.35844540745074,86.78067142839093,85.27743733167176,83.73982580447685,81.03944635335083,80.78339234486961,79.05808935776098,78.0913427450143,77.25538541480917,73.46005993143584,76.27838058996187
GNQ,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
GRC,%,Share of fossil primary energy consumed,96.71526760029779,97.70395899062339,97.21680796107364,95.7023577522564,95.70877592070033,95.39967335391435,94.55060656772442,96.65593176837794,95.82098020581317,93.93158299100544,91.78818979789824,93.51237065983752,91.47660833094376,87.40599530269733,88.56344313586565,86.39160661061005,86.13606668650704,85.24699437054025,85.9313495830737,85.58024039930213,82.42911928488724,79.83610600468236
HRV,%,Share of fossil primary energy consumed,80.23343242944311,79.21913824941078,83.1943100203765,85.11206756747747,80.10091428188008,81.49786768360647,82.47591077535151,87.6060809467214,84.73545880703868,80.27059780196274,76.1496258412588,84.48490666184703,83.10460968329025,73.24544529996277,71.52157509613546,77.32628507585622,76.11736104992498,79.71972307962136,72.94389153018554,75.77756225937479,73.9952147613573,70.90441704555933
HUN,%,Share of fossil primary energy consumed,85.37892417915553,85.85569350355141,85.98627121874625,88.86374827539463,87.58461218986636,85.76936235381176,86.33367512157292,84.6575546312876,83.3688013136172,80.81072146865394,80.7989662670531,80.82176386630144,79.5577620340873,78.90364759945253,78.00490802267947,79.0061086594741,79.18760656620675,80.17253093950004,80.32501002779019,79.22320001749881,78.03997825732972,77.79093241550095
IDN,%,Share of fossil primary energy consumed,96.26635942304628,95.88761328433095,96.3161861775705,96.77890555298306,96.57403638193884,96.47257380843972,96.77969148707334,96.62944869290669,96.41346784888589,96.34482629851577,95.67377955109082,96.61140267036927,96.52863651691823,95.66939655227512,95.521367390012,96.2070428852829,94.5209793514832,94.71622633554404,92.606542376499,92.12969121084619,90.13985290905784,89.61428470064904
IND,%,Share of fossil primary energy consumed,92.42368518349275,92.58518632734287,92.8659929972689,93.11504333705193,91.18719034087005,92.0476262349563,91.30107530689105,91.22504573501378,92.00568379421674,92.77574732806877,92.43573937461791,91.21605353631476,92.03555843065459,91.47610778633971,91.49959871855914,91.58259686919537,91.82670381467972,91.39000803227866,91.01657528621688,89.9460536982593,89.01259155161242,89.56859880716847
