country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
SAU,EJ,Energy use,4.805566572,5.12039672,5.332977701,5.649087648,6.128811554,6.332422174,6.590558162,6.878009919,7.543843968,7.90263448,8.73620041,9.183848633,9.738878542,9.781879408,10.53234393,10.86529121,11.15634446,11.07716777,10.94253365,10.79070657,10.61518399,10.82421316
SDN,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
SGP,EJ,Energy use,1.594851971,1.811114793,1.779231793,1.681165615,1.881749747,1.977252162,2.175598785,2.335935504,2.485135,2.672618866,2.872354932,2.986438582,2.999197639,3.065352974,3.154365023,3.354355428,3.480651669,3.589979773,3.609587755,3.533346978,3.439437605,3.45670803
SRB,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
SSD,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
SVK,EJ,Energy use,0.785689967,0.808409406,0.815136522,0.789574168,0.768945155,0.8106638,0.782617703,0.734071255,0.759609337,0.6918866,0.737035637,0.709211483,0.68151268,0.698689072,0.652300614,0.658702751,0.661721523,0.699294889,0.687860498,0.66545611,0.651086816,0.709854271
SVN,EJ,Energy use,0.283054563,0.295896297,0.294391822,0.288766566,0.306648874,0.306672983,0.309435325,0.307681802,0.337111657,0.311425659,0.311976488,0.302886067,0.294330364,0.291177946,0.298697416,0.26937831,0.287921447,0.291019735,0.296929051,0.288329816,0.278585732,0.269967306
SWE,EJ,Energy use,2.302091762,2.469199466,2.311240436,2.214649996,2.385511172,2.45102985,2.303311284,2.338035376,2.301930874,2.110982084,2.237901835,2.212656999,2.348803031,2.200594996,2.190451669,2.264407399,2.223380741,2.295375782,2.248587397,2.33839253,2.225696606,2.283887149
SYR,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
TCD,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
THA,EJ,Energy use,2.671020494,2.816918282,3.053721358,3.283570842,3.564835148,3.677863727,3.756494248,3.92248565,3.977994211,4.129547086,4.40053856,4.513331277,4.834079783,4.860138386,5.012324243,5.124375809,5.228761769,5.321154424,5.483753274,5.486220932,5.06976026,5.109656198
TKM,EJ,Energy use,0.431353378,0.544453428,0.459235198,0.634027756,0.627864002,0.635762219,0.642466187,0.623420828,0.511400361,0.833764438,0.89843861,0.99719401,1.087076051,0.965683308,1.000938562,1.198164278,1.18635063,1.173971813,1.306941914,1.421227627,1.339170933,1.604922045
TTO,EJ,Energy use,0.427807507,0.461597206,0.50090364,0.561568498,0.617577488,0.662182729,0.773418236,0.797530473,0.785801717,0.779289165,0.841932868,0.826824692,0.813961543,0.829064597,0.824803794,0.800290382,0.710038925,0.753428785,0.713135499,0.695053132,0.60585265,0.614570898
TUN,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
TUR,EJ,Energy use,3.112843297,2.82826986,3.094678733,3.277038545,3.509205278,3.588306071,3.980998758,4.227681921,4.242040142,4.299365014,4.535354733,4.845490037,5.145812191,5.108875535,5.263732906,5.773171596,6.072974052,6.434644709,6.363344531,6.603654182,6.441361235,6.827258413
UKR,EJ,Energy use,5.707643602,5.626441217,5.591655993,5.730940019,5.709138711,5.779773439,5.847952086,5.824373906,5.623389662,4.790007424,5.136892832,5.309079642,5.194761564,4.930446605,4.350134804,3.612268532,3.779983519,3.511191058,3.643159018,3.447587342,3.305108024,3.334732185
USA,EJ,Energy use,95.56353541,93.28600902,94.67225364,94.96840401,96.83117681,96.87648133,96.11322655,97.42963246,95.05985424,90.37990957,93.42671476,92.61383499,90.17231174,92.61989975,93.58638498,92.68932238,92.60334522,92.94851052,96.34490275,95.65797966,88.53560487,92.97165858
UZB,EJ,Energy use,2.15837309,2.165527057,2.220290361,2.035613254,2.029224039,2.025319156,1.896677935,2.031492291,1.90506274,1.89049791,1.91231156,2.012271687,1.955064588,1.963262136,2.029770264,1.937173523,1.854154145,1.914024762,1.921212399,1.924716918,1.87564842,1.968479337
VEN,EJ,Energy use,2.945943648,3.060703662,3.096324482,2.893598405,3.142847517,3.239021229,3.417566332,3.610080749,3.542923272,3.534642774,3.406866281,3.491684111,3.654400638,3.685528192,3.538199254,3.489028915,3.03697572,3.06346517,2.518244402,2.089417063,1.925408745,2.031533267
VNM,EJ,Energy use,0.770936231,0.871361572,0.95311899,1.027183325,1.251988414,1.33124859,1.220285608,1.332985888,1.645950899,1.683811366,1.944810867,2.149711041,2.254452855,2.381732616,2.633678675,2.996241465,3.238302954,3.484597254,3.910131697,4.339456753,4.222682719,4.319793147
YEM,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
ZAF,EJ,Energy use,4.267379499,4.289530979,4.180049113,4.528646642,4.941979424,4.678431599,4.773818944,4.903893312,5.254948548,5.231612379,5.266075515,5.20185059,5.121732058,5.144418924,5.203840274,5.095065141,5.333678192,5.315418154,5.125565723,5.363061619,4.952758405,4.97843062
ZMB,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
ZWE,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
