country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BLZ,tCO2 per capita,Energy GHG emissions per capita,1.7434978726126875,2.2340113845638707,1.934912826001935,2.024035420619861,1.9684746552690167,1.9423855587015975,1.5304689693906206,1.872954981383279,1.7285709322122234,1.6486804279873966,1.961101451619425,2.136685119262314,1.859848239432594,1.8149561292812921,1.634625121150313,1.7265801732217987,1.6784628163850923,1.7723914911831884,1.6067948191459542,1.8178640097884988,1.7676336966802602,1.8683608086338255,1.4378655684450639,1.4549893406844525,1.3781744706621464,1.8341709935000527,1.710102361841373,1.6951633291198192,1.6628771167746972,1.8035050505826806
BOL,tCO2 per capita,Energy GHG emissions per capita,2.1850476027187233,2.2962420358909763,2.457785783580511,2.598163754603707,2.8124527909710086,1.889185123611744,1.8767832654691934,2.3307224622306424,1.8772938956701328,1.7802933875059253,1.8174755620810452,1.4335256666360539,1.6585033985594124,1.762892131213072,1.7752698079312441,1.9063503237166988,2.171263981104043,1.851766993728473,1.9235799736603267,1.8715622688999969,2.010230880987664,2.154127636566552,2.3993809019109,2.4567519178553225,2.568529055714384,2.5023616037635517,2.53811201812357,2.573070512049073,2.519126867104607,2.562298153877209
BRA,tCO2 per capita,Energy GHG emissions per capita,1.5637245435459535,1.5760180745402081,1.5752688546360183,1.6066399009809977,1.6558709213994014,1.715838726441789,1.8285124773985835,1.8898499068046832,1.9200725283249425,1.9498757285005568,1.9795144398684414,1.9921437188236208,1.9550230733661174,1.908593822655134,1.9890603960744229,2.020124870795285,1.987592396009312,2.0354446653717138,2.1454940547370316,1.9805401103083475,2.2328541163434616,2.3137536997845642,2.443708252104705,2.5866026398946134,2.717448342244065,2.567591742583874,2.468919552686491,2.492375819960971,2.401306310632984,2.38332691959369
BRB,tCO2 per capita,Energy GHG emissions per capita,3.8324014210544473,4.31442621949357,3.5109741717067977,4.168735243624678,2.770930149154564,3.0193077776315542,3.0107059805951764,3.121003195579138,3.787119338813518,4.030245327318778,4.014570312068388,4.073484186807783,4.023070480537482,4.155563899085411,4.2138453882005065,4.3789808917197455,4.432831786647446,4.520974090512772,5.39389739449751,5.4427673448188765,4.962233855903818,5.194584910260895,5.040571311746999,4.9596544422323365,4.318441148073378,4.3108433481584285,4.3737185004793595,3.982824940869025,4.081775048841752,4.215719407290756
BRN,tCO2 per capita,Energy GHG emissions per capita,39.03924797266479,31.178627238850822,29.68366631615843,30.28216015109129,28.57123115404281,27.868278628934544,27.87078983651763,28.144453491130328,28.51457846992652,25.198182787985804,27.853982699315054,28.555715995612246,25.722582524215852,26.691575029366394,26.43044341937602,25.96463550910406,28.088218612766095,36.80323868500428,42.43341117184741,35.42570760246104,34.73705337155267,38.863360994902045,37.84489607691286,31.898005509205916,33.92080589977988,28.68064225357544,29.538508448251633,33.68819805833477,33.10331965684446,41.54204054503157
BTN,tCO2 per capita,Energy GHG emissions per capita,0.533156493676538,0.5312015442253343,0.6192413825358963,0.5595298447210799,0.6128913997800359,0.8697620218880757,1.0157515360933458,1.1545858082010032,1.1286761709350825,1.1282502085186352,1.128568866388952,1.1016445150527714,1.1476806947769975,1.0528160040774721,0.9126358582925412,1.0666765318831466,1.054146308814671,1.0528326462346946,1.0839608046920017,1.0260507806683778,1.1422286149420426,1.2245834036495182,1.3768882325943368,1.4361443747492026,1.501975515017669,1.42879713141499,1.5881504969417921,1.7168233938647708,1.7232328909485204,1.7166954529848224
BWA,tCO2 per capita,Energy GHG emissions per capita,2.4402450814295795,2.322213099242189,2.405501558075628,2.6445383136422445,2.4685142403286893,2.4231319252395735,2.139927322219889,2.1292838854756875,2.455853339230766,2.3039757554680613,2.628803778662024,2.6273770297980383,2.6574572768278526,2.4965593030851823,2.492165255478091,2.567983471524565,2.5382494031573426,2.5167185828741565,2.620539601469173,2.160230765883711,2.5011247512714467,2.2328007359311224,2.8339570817302437,3.0932568455276983,3.6627072721257443,2.9942717459574975,3.3334490780929893,3.6461328317028534,3.6777966227268313,3.3988756363124937
CAF,tCO2 per capita,Energy GHG emissions per capita,0.18776231499889554,0.18203881387121867,0.18281745693820975,0.1749750832855134,0.1799033306677444,0.17718271416611486,0.15929944517242578,0.1600621618944757,0.1573881055449815,0.1368739177615409,0.13789613893557914,0.12923104038241642,0.1265080695578714,0.12135468935389579,0.11894290816168054,0.11712617435704417,0.11850196997383486,0.1600760742486191,0.15842305179427563,0.15699842978516115,0.1600268079097011,0.16407767188041383,0.1695063870322204,0.16749307826423213,0.16822832279498254,0.17003581657586592,0.17079200993105953,0.16971194443543908,0.1716535854919504,0.1730177091317314
CAN,tCO2 per capita,Energy GHG emissions per capita,17.15350232265644,16.727644697693297,17.130008729960007,17.25654776173163,17.516840908085445,17.780167577908788,18.068087171799952,18.491304806655855,18.769582253764554,18.91367358604501,19.390120424053787,19.051670386631567,18.526739042972437,19.434946777319247,19.223149932272836,19.22853087232122,19.34225643816216,19.216136689974846,18.527921728433725,17.484963451817254,17.026963387529364,16.832012554235188,16.62142968377629,16.61775687417884,17.07234171999187,17.253496549916886,16.948454570955274,17.320999103686184,17.428801726174424,17.286668547810805
CHE,tCO2 per capita,Energy GHG emissions per capita,6.0605889135299895,6.058843131551309,6.036044055267474,5.693065917776274,5.705057125637797,5.397200585681483,5.500682282571039,5.699045804811067,5.710266426122866,5.557117863110411,5.275428889584855,5.767751326651963,5.422284049987693,5.327700595762284,5.3047346786880265,5.4053218217010235,5.438316265215595,4.886694246692244,5.138816699192892,5.229969507340747,4.830727104941413,4.51190650419759,4.564290913647242,4.821156123127877,4.1887251486783725,4.165461298880179,3.953023274588939,3.9636339542632135,3.781859968060901,3.8366094168353686
CHL,tCO2 per capita,Energy GHG emissions per capita,2.9454710444753323,2.697244327728524,2.6895400507499443,2.768030311222699,2.957714007550006,3.2334635804914087,3.688122743467001,4.145749960419248,4.146153998174357,4.405518479072567,4.138870512014131,3.7251600143128645,3.774447918452543,3.7350984870390507,3.927574771907188,4.004272954726441,4.108959077763702,4.4403573798043965,4.410993248546901,4.092102750982697,4.360431638190137,4.705927681670858,4.787257550260888,4.877212893074478,4.5498136744312125,4.7024501045001275,4.772346443574939,4.715644217366836,4.682536317954574,4.696065620393799
CHN,tCO2 per capita,Energy GHG emissions per capita,2.448940040610121,2.502650376266532,2.5408379614925707,2.639082176436645,2.760449223256575,2.9464126388652576,3.0060367130713317,2.9998170843241265,2.8101309649860906,2.7619568384374986,2.8353179238820094,2.8541101544993515,3.1084036238675417,3.6401738590499844,4.158709951198812,4.64823735157856,5.087641683574621,5.410183741373489,5.767539472541907,6.0093445307453095,6.518627051554715,7.152230239361801,7.288489798329629,7.335465508641179,7.289373551237007,7.239864913831838,7.061587127735464,7.162220718155871,7.271379280846332,7.387701607890634
CIV,tCO2 per capita,Energy GHG emissions per capita,0.5727524309902504,0.5201253736732758,0.46985629889978703,0.549291654880882,0.48560519147623826,0.6274754381394783,0.7296221477825795,0.7005636364910116,0.6478758300427977,0.6012759149763423,0.6259624932997705,0.6705026936704012,0.6499709631275535,0.5147840466719353,0.645502602516247,0.6537901604907741,0.6131726330496637,0.5998565560409468,0.5916686524970866,0.5184667124678831,0.5503351102501424,0.5849162371415915,0.6729416386026799,0.7198639810216689,0.7108898433357743,0.6802677740622337,0.7807670709053196,0.7570340225411994,0.7459344775941626,0.7582664458076304
