country,unit,variable,2014,2015,2016,2017,2018,2019,2020
FSM,MtCO2eq,Total GHG emissions (excluding LULUCF),0.044128053613829994,0.04470808134098,0.04588933802045,0.04672989839710999,0.047459537957,0.04826981084399,
GAB,MtCO2eq,Total GHG emissions (excluding LULUCF),20.859495463265002,21.72472847019,21.83409121735,20.212902593947,19.823083815506997,20.241298625522003,5.9462353956000005
GBR,MtCO2eq,Total GHG emissions (excluding LULUCF),527.18075601533,512.32350178823,490.08316300237,477.23428984594,467.75248761536994,450.76897481270004,313.72886091479995
GEO,MtCO2eq,Total GHG emissions (excluding LULUCF),16.096326116531,16.320354449697,16.836548706803,16.763032267588,16.653763802903,16.846379418599998,10.443866193167707
GHA,MtCO2eq,Total GHG emissions (excluding LULUCF),32.34667935338,33.784468232799995,33.06954633268,36.487409748599994,38.89327191198,40.101076360812996,16.5204982
GIN,MtCO2eq,Total GHG emissions (excluding LULUCF),21.152830756302,22.302713869385,23.273179074646,24.266380114896,25.364390245602998,26.197387378482997,2.774251893
GMB,MtCO2eq,Total GHG emissions (excluding LULUCF),1.9974578897775996,2.0527585358012,2.0357422812486,2.0831859405467,2.1456200556355,2.1767339086426003,0.517509828208
GNB,MtCO2eq,Total GHG emissions (excluding LULUCF),2.6684805208138997,2.8130117092008997,2.965819808757,2.9613702822904,2.9475187531126,3.0026463979555,0.2896087049
GNQ,MtCO2eq,Total GHG emissions (excluding LULUCF),17.9425634351768,17.1453647545004,16.4034242952851,15.4466979989339,15.467495362343698,14.7799071004353,4.2760297361
GRC,MtCO2eq,Total GHG emissions (excluding LULUCF),96.5266206774,94.72278783039,94.54399316377,95.00281169018,93.38325921858001,96.50778815426999,56.1303186393
GRD,MtCO2eq,Total GHG emissions (excluding LULUCF),0.3437606864933,0.3495829561971,0.3489515602384,0.2921492949057,0.2862108931535,0.2813175428166,0.18453682212999997
GTM,MtCO2eq,Total GHG emissions (excluding LULUCF),34.654669630259,37.441044877229,39.059776392879,39.11979133046,41.498033306889994,45.02480635287,19.6169252561
GUY,MtCO2eq,Total GHG emissions (excluding LULUCF),5.494339759553999,5.569996744208,5.536248038626,5.152787920105,5.073050198774999,5.040269519504,1.5153605895
HND,MtCO2eq,Total GHG emissions (excluding LULUCF),20.85034470687,22.231713455559998,21.99057122918,22.507193977169997,23.560631572722396,24.949085678912603,10.630616269999999
HRV,MtCO2eq,Total GHG emissions (excluding LULUCF),26.0545908609,26.726114387699997,27.044390673589998,27.389510644250002,26.02061041364,26.43978823609,17.697474773390002
